### ScanFence blog consolidation map — generated 2026-08-08 from GSC (2026-05-07 → 2026-08-06)
###
### 70 English posts -> 27 survivors. 43 merged away.
### `impressions` and `position` are the 3-month GSC figures for the SOURCE url.
### Survivors were chosen by impressions first, position second — never by slug aesthetics.
###
### Nothing here is executed automatically. Review, then:
###   1. fold the source's unique content into the survivor (do NOT just delete),
###   2. add the 301 to public/.htaccess,
###   3. unpublish the source in WordPress,
###   4. re-run the build so the sitemap drops it.
###
### Column `action`: MERGE = redirect after folding content in. KEEP = survivor, do not touch.
cluster,action,source_url,target_url,impressions,position,note
A-analytics,KEEP,/blog/best-qr-code-analytics-tools/,,645,36.16,"Beachhead page. 674 impressions of analytics demand sitewide funnel here. Expand into the definitive guide."
A-analytics,MERGE,/blog/importance-of-qr-code-analytics/,/blog/best-qr-code-analytics-tools/,20,40.55,
A-analytics,MERGE,/blog/understanding-qr-code-analytics/,/blog/best-qr-code-analytics-tools/,0,,
A-analytics,MERGE,/blog/the-ultimate-qr-code-analytics-guide-track-measure-and-optimize-your-campaigns/,/blog/best-qr-code-analytics-tools/,0,,
A-analytics,MERGE,/blog/how-qr-code-data-revolutionizes-marketing-more-than-just-a-black-and-white-square/,/blog/best-qr-code-analytics-tools/,0,,
B-geofencing,KEEP,/blog/qr-code-geofencing-explained-a-complete-guide-for-business-owners/,,1,16,"Pillar for the moat cluster. Currently invisible only because nothing links to it."
B-geofencing,MERGE,/blog/what-is-gps-geofencing-and-how-can-it-transform-your-qr-code-strategy/,/blog/qr-code-geofencing-explained-a-complete-guide-for-business-owners/,0,,
B-geofencing,MERGE,/blog/geofenced-qr-codes-marketing-strategies/,/blog/qr-code-geofencing-explained-a-complete-guide-for-business-owners/,0,,
B-geofencing,MERGE,/blog/how-dynamic-qr-codes-are-revolutionizing-location-based-marketing-in-2026/,/blog/qr-code-geofencing-explained-a-complete-guide-for-business-owners/,1,45,
C-geofence-marketing,KEEP,/blog/geofenced-qr-codes-marketing/,,14,11.71,"Kept separate from the B pillar: campaign application vs. what-it-is. Best-positioned geofencing URL — do not redirect."
D-restaurant-apps,KEEP,/blog/best-qr-code-solutions-for-restaurants/,,338,47.35,"Absorbs the whole 6-page app pile-up: 729 combined impressions on ONE intent. Biggest single cannibalization win on the site."
D-restaurant-apps,MERGE,/blog/choosing-the-right-qr-code-app-for-your-restaurant/,/blog/best-qr-code-solutions-for-restaurants/,244,28.23,"Better position than the survivor but 94 fewer impressions; equity passes via the 301."
D-restaurant-apps,MERGE,/blog/best-5-free-qr-code-apps-for-restaurants-in-2026/,/blog/best-qr-code-solutions-for-restaurants/,95,35.29,
